name,weight_type,host,model_type,model_subfolder,repo_id,filename,subfolder,repo_type,revision
civit-remix-V21-I2V-Low-fp16,fp16,civitai,diffusion_models,civit-wan-22,2003153,1,,,2567410
civit-remix-V21-I2V-High-fp16,fp16,civitai,diffusion_models,civit-wan-22,2003153,1,,,2567309
comfy-wan-22-T2V-14B-high-fp16,fp16,hf,diffusion_models,comfy-wan-22,Comfy-Org/Wan_2.2_ComfyUI_Repackaged,wan2.2_t2v_high_noise_14B_fp16.safetensors,split_files/diffusion_models,,
comfy-wan-22-T2V-14B-low-fp16,fp16,hf,diffusion_models,comfy-wan-22,Comfy-Org/Wan_2.2_ComfyUI_Repackaged,wan2.2_t2v_low_noise_14B_fp16.safetensors,split_files/diffusion_models,,
comfy-wan-22-T2V-14B-high-fp8,fp8,hf,diffusion_models,comfy-wan-22,Comfy-Org/Wan_2.2_ComfyUI_Repackaged,wan2.2_t2v_high_noise_14B_fp8_scaled.safetensors,split_files/diffusion_models,,
comfy-wan-22-T2V-14B-low-fp8,fp8,hf,diffusion_models,comfy-wan-22,Comfy-Org/Wan_2.2_ComfyUI_Repackaged,wan2.2_t2v_low_noise_14B_fp8_scaled.safetensors,split_files/diffusion_models,,
comfy-wan-22-animate-14B-bf16,bf16,hf,diffusion_models,comfy-wan-22,Comfy-Org/Wan_2.2_ComfyUI_Repackaged,wan2.2_animate_14B_bf16.safetensors,split_files/diffusion_models,,
kj-wan-22-TI2V-5B-fp8,fp8,hf,diffusion_models,kj-wan-22,Kijai/WanVideo_comfy_fp8_scaled,Wan2_2-TI2V-5B_fp8_e4m3fn_scaled_KJ.safetensors,TI2V,,
comfy-Wan-22-5B-14B-fp16,fp16,hf,diffusion_models,comfy-wan-22,Comfy-Org/Wan_2.2_ComfyUI_Repackaged,wan2.2_ti2v_5B_fp16.safetensors,split_files/diffusion_models,,
kj-wan-21-I2V-14B-SteadyDancer-fp16,fp16,hf,diffusion_models,kj-wan-22,Kijai/WanVideo_comfy,Wan21_I2V_SteadyDancer_fp16.safetensors,SteadyDancer,,
kj-wan-21-I2V-14B-SteadyDancer-fp8,fp8,hf,diffusion_models,kj-wan-22,Kijai/WanVideo_comfy_fp8_scaled,Wan21_SteadyDancer_fp8_e4m3fn_scaled_KJ.safetensors,SteadyDancer,,
kj-wan-22-I2V-14B-high-fp16,fp16,hf,diffusion_models,kj-wan-22,Kijai/WanVideo_comfy,Wan2_2-I2V-A14B-HIGH_bf16.safetensors,"",,
kj-wan-22-I2V-14B-low-fp16,fp16,hf,diffusion_models,kj-wan-22,Kijai/WanVideo_comfy,Wan2_2-I2V-A14B-LOW_bf16.safetensors,"",,
kj-wan-22-T2V-14B-high-fp8,fp8,hf,diffusion_models,kj-wan-22,Kijai/WanVideo_comfy_fp8_scaled,Wan2_2-T2V-A14B_HIGH_fp8_e4m3fn_scaled_KJ.safetensors,T2V,,
kj-wan-22-T2V-14B-low-fp8,fp8,hf,diffusion_models,kj-wan-22,Kijai/WanVideo_comfy_fp8_scaled,Wan2_2-T2V-A14B-LOW_fp8_e4m3fn_scaled_KJ.safetensors,T2V,,
kj-wan-22-animate-14B-fp8,fp8,hf,diffusion_models,kj-wan-22,Kijai/WanVideo_comfy_fp8_scaled,Wan2_2-Animate-14B_fp8_scaled_e4m3fn_KJ_v2.safetensors,Wan22Animate,,
civit-remix-V21-I2V-Low-fp8,fp8,civitai,diffusion_models,civit-wan-22,2003153,0,,,2567410
civit-remix-V21-I2V-High-fp8,fp8,civitai,diffusion_models,civit-wan-22,2003153,0,,,2567309
